/* DATA DESCRIPTION:
Citation:	Nicolaus, Marcel; Anhaus, Philipp; Hoppmann, Mario; Tao, Ran; Katlein, Christian (2024): Transmittance through sea ice from radiation station 2020R11 [dataset]. Alfred Wegener Institute, Helmholtz Centre for Polar and Marine Research, Bremerhaven, PANGAEA, https://doi.org/10.1594/PANGAEA.948827, 
	In: Nicolaus, M et al. (2024): Spectral radiation fluxes, albedo and transmittance from autonomous measurement from Radiation Station 2020R11, deployed during MOSAiC 2019/20 [dataset bundled publication]. Alfred Wegener Institute, Helmholtz Centre for Polar and Marine Research, Bremerhaven, PANGAEA, https://doi.org/10.1594/PANGAEA.948828
Abstract:	Solar radiation over and under sea ice was measured by radiation station 2020R11, an autonomous platform, installed on drifting Second-Year-Ice (SYI) in the Arctic Ocean during MOSAiC (Leg 2) 2019/20. The resulting time series describes radiation measurements as a function of place and time between 26 March 2020 and 01 August 2020 in sample intervals of 3 hours. The radiation measurements have been performed with spectral radiometers. All data are given in full spectral resolution interpolated to 1.0 nm, and integrated over the entire wavelength range (broadband, total: 320 to 950 nm). Two sensors, solar irradiance and upward reflected solar irradiance, were mounted on a on a platform about 1 m above the sea ice surface. The third sensor was mounted 0.5 m underneath the sea ice measuring the downward transmitted irradiance. Along with the radiation measurements, this autonomous platform consisted of a lightchain, which measured counts of red, green and blue light at 49 positions at hourly intervals. In addition, the evolution of snow height is measured at hourly intervals. All times are given in UTC.
Keyword(s):	autonomous platform; buoy; drift; lightchain; snow depth; solar radiation
Further details:	Buoy Deployment Report 2020R11. https://download.pangaea.de/reference/115456/attachments/2020R11_deployment.pdf
Project(s):	Current sea ice maps for Arctic and Antarctic (meereisportal.de) (URI: https://www.meereisportal.de/en/)
	Multidisciplinary drifting Observatory for the Study of Arctic Climate (MOSAiC) (URI: https://mosaic-expedition.org/)
	Sea Ice Physics @ AWI (AWI_SeaIce) (URI: https://www.awi.de/en/science/climate-sciences/sea-ice-physics.html)
Funding:	Alfred Wegener Institute, Helmholtz Centre for Polar and Marine Research, Bremerhaven (AWI) (URI: https://www.awi.de/), grant/award no. AFMOSAiC-1_00: Multidisciplinary drifting Observatory for the Study of Arctic Climate
	Alfred Wegener Institute, Helmholtz Centre for Polar and Marine Research, Bremerhaven (AWI) (URI: https://www.awi.de/), grant/award no. AWI_PS122_00: Multidisciplinary drifting Observatory for the Study of Arctic Climate / MOSAiC
Coverage:	MEDIAN LATITUDE: 84.297156 * MEDIAN LONGITUDE: 15.216410 * SOUTH-BOUND LATITUDE: 83.694000 * WEST-BOUND LONGITUDE: 12.844700 * NORTH-BOUND LATITUDE: 85.839000 * EAST-BOUND LONGITUDE: 18.317800
	DATE/TIME START: 2020-03-27T09:03:50 * DATE/TIME END: 2020-08-01T09:02:02
	MINIMUM ELEVATION: -2586.3 m * MAXIMUM ELEVATION: -2586.3 m
Event(s):	PS122/3_28-55 (2020R11) * LATITUDE START: 85.982218 * LONGITUDE START: 13.088808 * LATITUDE END: 78.802415 * LONGITUDE END: -2.393845 * DATE/TIME START: 2020-03-26T14:55:00 * DATE/TIME END: 2020-08-01T10:00:00 * O2A Registry URI: https://registry.o2a-data.de/items/4335 * LOCATION: Arctic Ocean * CAMPAIGN: PS122/3 (MOSAiC20192020) * BASIS: Polarstern (URI: https://doi.org/10.17815/jlsrf-3-163) * METHOD/DEVICE: Radiation Station (RAD_S)
	PS122/4_43-158 (2020R11) * LATITUDE: 78.802415 * LONGITUDE: -2.393845 * DATE/TIME: 2020-08-01T10:00:00 * ELEVATION: -2586.3 m * O2A Registry URI: https://registry.o2a-data.de/items/4335 * LOCATION: Arctic Ocean * CAMPAIGN: PS122/4 (MOSAiC20192020) * BASIS: Polarstern (URI: https://doi.org/10.17815/jlsrf-3-163) * METHOD/DEVICE: Radiation Station (RAD_S) * COMMENT: recovery
Comment:	The data set has been processed and contains quality flags for different kinds for erroneous data. Flag values are the sum of individual error codes. The value of 0 refers to no error. Quality flag, position: The geographic position is flagged +1 if the drift velocity, as derived from the GPS longitude and latitude, exceeds a threshold of 10 deg latitude or 50 deg longitude per time step; +2 if the position exceeds extreme values, such as longitude > 360 deg; +4 if the position is exactly 0.0. Quality flag, sun: If the suns position is close to the horizon, the radiometers measure a very noisy signal. Radiometer measurements and variables which are computed from them are flagged +1 if the sun elevation is below 10 degrees; +2 if the broad band albedo exceeds the threshold 1.05 .
Parameter(s):	DATE/TIME (Date/Time) * GEOCODE * PI: Nicolaus, Marcel (https://orcid.org/0000-0003-0903-1746, marcel.nicolaus@awi.de, https://www.awi.de/en/about-us/organisation/staff/single-view/marcel-nicolaus.html)
	LATITUDE (Latitude) * GEOCODE * PI: Nicolaus, Marcel (https://orcid.org/0000-0003-0903-1746, marcel.nicolaus@awi.de, https://www.awi.de/en/about-us/organisation/staff/single-view/marcel-nicolaus.html)
	LONGITUDE (Longitude) * GEOCODE * PI: Nicolaus, Marcel (https://orcid.org/0000-0003-0903-1746, marcel.nicolaus@awi.de, https://www.awi.de/en/about-us/organisation/staff/single-view/marcel-nicolaus.html)
	Quality flag, sun elevation (QF sun) * PI: Nicolaus, Marcel (https://orcid.org/0000-0003-0903-1746, marcel.nicolaus@awi.de, https://www.awi.de/en/about-us/organisation/staff/single-view/marcel-nicolaus.html)
License:	Creative Commons Attribution 4.0 International (CC-BY-4.0) (URI: https://creativecommons.org/licenses/by/4.0/)
Status:	Curation Level: Enhanced curation (URI: https://wiki.pangaea.de/wiki/Curation_levels) * Processing Level: PANGAEA data processing level 2 (URI: https://wiki.pangaea.de/wiki/Processing_levels#PANGAEA_data_processing_level_2)
Size:	2875 data points
*/
Date/Time	Latitude	Longitude	QF sun
2020-03-27T09:03:50	85.839	13.2210	1
2020-03-29T14:23:41	85.839	13.2210	1
2020-03-29T15:02:30	85.839	13.2210	1
2020-03-29T16:03:00	85.393	13.1092	1
2020-03-29T17:02:59	85.393	13.1092	1
2020-03-29T18:02:28	85.393	13.1092	1
2020-03-29T19:04:37	85.390	13.1051	1
2020-03-29T20:02:29	85.390	13.1051	1
2020-03-29T21:02:32	85.390	13.1051	1
2020-03-29T22:03:25	85.386	13.1015	1
2020-03-29T23:03:09	85.386	13.1015	1
2020-03-30T00:02:39	85.386	13.1015	1
2020-03-30T01:03:05	85.382	13.0961	1
2020-03-30T02:02:31	85.382	13.0961	1
2020-03-30T03:02:29	85.382	13.0961	1
2020-03-30T04:02:59	85.378	13.0908	1
2020-03-30T05:02:50	85.378	13.0908	1
2020-03-30T06:02:27	85.378	13.0908	1
2020-03-30T07:02:27	85.375	13.0877	1
2020-03-30T08:02:53	85.375	13.0877	1
2020-03-30T09:02:34	85.375	13.0877	1
2020-03-30T10:03:13	85.372	13.0855	1
2020-03-30T11:02:50	85.372	13.0855	1
2020-03-30T12:02:27	85.372	13.0855	1
2020-03-30T13:02:28	85.369	13.0830	1
2020-03-30T14:03:23	85.369	13.0830	1
2020-03-30T15:02:58	85.369	13.0830	1
2020-03-30T16:02:40	85.367	13.0802	1
2020-03-30T17:02:32	85.367	13.0802	1
2020-03-30T18:02:41	85.367	13.0802	1
2020-03-30T19:02:27	85.366	13.0786	1
2020-03-30T20:03:04	85.366	13.0786	1
2020-03-30T21:02:54	85.366	13.0786	1
2020-03-30T22:02:20	85.365	13.0783	1
2020-03-30T23:02:34	85.365	13.0783	1
2020-03-31T00:02:52	85.365	13.0783	1
2020-03-31T01:02:43	85.363	13.0778	1
2020-03-31T02:02:16	85.363	13.0778	1
2020-03-31T03:02:24	85.363	13.0778	1
2020-03-31T04:02:35	85.362	13.0776	1
2020-03-31T05:02:39	85.362	13.0776	1
2020-03-31T06:02:09	85.362	13.0776	1
2020-03-31T07:02:40	85.361	13.0776	1
2020-03-31T08:02:15	85.361	13.0776	1
2020-03-31T09:03:02	85.361	13.0776	1
2020-03-31T10:02:30	85.361	13.0795	1
2020-03-31T11:02:47	85.361	13.0795	1
2020-03-31T12:02:15	85.361	13.0795	1
2020-03-31T13:02:30	85.360	13.0831	1
2020-03-31T14:02:49	85.360	13.0831	1
2020-03-31T15:02:33	85.360	13.0831	1
2020-03-31T16:03:20	85.360	13.0865	1
2020-03-31T17:02:10	85.360	13.0865	1
2020-03-31T18:02:40	85.360	13.0865	1
2020-03-31T21:04:36	85.360	13.0909	1
2020-03-31T22:02:15	85.360	13.0909	1
2020-03-31T23:02:14	85.360	13.0909	1
2020-04-01T00:02:28	85.359	13.0961	1
2020-04-01T01:02:12	85.359	13.0961	1
2020-04-01T02:02:39	85.359	13.0961	1
2020-04-01T03:02:09	85.359	13.1033	1
2020-04-01T04:02:11	85.359	13.1033	1
2020-04-01T05:02:15	85.359	13.1033	1
2020-04-01T06:02:23	85.358	13.1100	1
2020-04-01T07:02:45	85.358	13.1100	1
2020-04-01T08:02:09	85.358	13.1100	1
2020-04-01T09:02:23	85.357	13.1186	1
2020-04-01T10:02:44	85.357	13.1186	1
2020-04-01T11:02:10	85.357	13.1186	1
2020-04-01T12:02:28	85.356	13.1268	1
2020-04-01T13:02:09	85.356	13.1268	1
2020-04-01T14:02:33	85.356	13.1268	1
2020-04-01T15:02:35	85.355	13.1374	1
2020-04-01T16:02:36	85.355	13.1374	1
2020-04-01T17:02:44	85.355	13.1374	1
2020-04-01T18:02:10	85.355	13.1524	1
2020-04-01T19:02:29	85.355	13.1524	1
2020-04-01T20:02:45	85.355	13.1524	1
2020-04-01T23:03:00	85.353	13.1688	1
2020-04-02T00:02:12	85.353	13.1688	1
2020-04-02T01:02:30	85.353	13.1688	1
2020-04-02T02:02:45	85.352	13.1893	1
2020-04-02T03:02:12	85.352	13.1893	1
2020-04-02T04:02:18	85.352	13.1893	1
2020-04-02T05:02:44	85.351	13.2103	1
2020-04-02T06:02:14	85.351	13.2103	1
2020-04-02T07:02:30	85.351	13.2103	1
2020-04-02T08:02:41	85.349	13.2341	1
2020-04-02T09:02:44	85.349	13.2341	1
2020-04-02T10:02:09	85.349	13.2341	1
2020-04-02T11:02:29	85.347	13.2597	1
2020-04-02T12:03:06	85.347	13.2597	1
2020-04-02T13:02:09	85.347	13.2597	1
2020-04-02T14:02:18	85.346	13.2865	1
2020-04-02T15:02:14	85.346	13.2865	1
2020-04-02T16:02:18	85.346	13.2865	1
2020-04-02T17:02:42	85.343	13.3118	1
2020-04-02T18:02:15	85.343	13.3118	1
2020-04-02T19:02:23	85.343	13.3118	1
2020-04-02T20:02:30	85.340	13.3348	1
2020-04-02T21:02:34	85.340	13.3348	1
2020-04-02T22:02:42	85.340	13.3348	1
2020-04-02T23:02:13	85.337	13.3589	1
2020-04-03T00:02:48	85.337	13.3589	1
2020-04-03T01:02:12	85.337	13.3589	1
2020-04-03T02:02:22	85.333	13.3883	1
2020-04-03T03:02:10	85.333	13.3883	1
2020-04-03T04:02:22	85.333	13.3883	1
2020-04-03T05:02:45	85.329	13.4201	1
2020-04-03T06:02:09	85.329	13.4201	1
2020-04-03T07:02:22	85.329	13.4201	1
2020-04-03T08:02:45	85.326	13.4561	1
2020-04-03T09:02:29	85.326	13.4561	1
2020-04-03T10:02:44	85.326	13.4561	0
2020-04-03T11:02:31	85.322	13.4950	0
2020-04-03T12:02:45	85.322	13.4950	0
2020-04-03T13:02:10	85.322	13.4950	1
2020-04-03T14:02:38	85.317	13.5354	1
